ID RSSD,Name of Bank,Average Assets (in Bn.) ,Net Income(in Mn.)
93721,"FIRST CITIZENS BANK AND TRUST COMPANY, INC.",0.008409968,0.033469
1007846,FIRST MIDWEST BANK,0.00821711,0.04244
671576,DORAL BANK,0.007959727,-0.079075
540926,SOUTH STATE BANK,0.007946403,0.038697
3812165,"JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",0.007883194,0.072301
245276,ORIENTAL BANK,0.007809364,0.044665
2634191,GLACIER BANK,0.007760145,0.058046
702117,"NBT BANK, NATIONAL ASSOCIATION",0.007623248,0.044532
659855,FIRST INTERSTATE BANK,0.007497359,0.047575
1017939,UNITED COMMUNITY BANK,0.007373242,0.036821
202907,"COMMUNITY BANK, NATIONAL ASSOCIATION",0.007326087,0.043689
2078290,COLUMBIA STATE BANK,0.007184637,0.041523
83638,MERCANTIL COMMERCEBANK NATIONAL ASSOCIATION,0.006957168,0.012558
933966,CITIZENS BUSINESS BANK,0.006900473,0.056016
125471,STERLING NATIONAL BANK,0.006861653,0.02921
456045,CENTENNIAL BANK,0.006749103,0.057522
4262534,"CADENCE BANK, N.A.",0.006746075,0.023557
671464,BBCN BANK,0.006681145,0.046503
489623,"PARK NATIONAL BANK, THE",0.006663059,0.041796
4160667,"CAPITAL BANK, NATIONAL ASSOCIATION",0.00654537,0.028341
165628,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",0.006443538,0.03376
693224,UNION FIRST MARKET BANK,0.006378204,0.027582
1386251,BANCFIRST,0.006324981,0.029083
365325,UNITED BANK,0.006315735,0.039357
918918,SAFRA NATIONAL BANK OF NEW YORK,0.006300194,0.01135
816210,BANCO SANTANDER PUERTO RICO,0.006283843,0.022725
964700,BOSTON PRIVATE BANK & TRUST COMPANY,0.006262392,0.034108
542649,CHEMICAL BANK,0.006218011,0.031777
613008,ROCKLAND TRUST COMPANY,0.006208876,0.029549
42420,FIRST COMMONWEALTH BANK,0.006186937,0.026333
645625,"WESBANCO BANK, INC.",0.006186078,0.03616
3284397,BEAL BANK USA,0.005894112,0.235068
749242,RENASANT BANK,0.0058771,0.029855
169653,FIRST BANK,0.005823643,0.01677
412135,COLE TAYLOR BANK,0.005631244,0.022171
107244,BANK OF THE OZARKS,0.005629485,0.054936
229913,MIZUHO BANK (USA),0.005601193,0.012363
2925666,PINNACLE BANK,0.005576078,0.035353
17147,"FIRST MERCHANTS BANK, NATIONAL ASSOCIATION",0.005432012,0.031247
716413,SCOTIABANK DE PUERTO RICO,0.005386912,0.010986
871769,FARMERS AND MERCHANTS BANK OF LONG BEACH,0.005319328,0.030171
470050,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",0.005202504,0.040892
101019,BANK LEUMI USA,0.005127127,0.011543
1010930,"UNITED BANK, INC.",0.005114985,0.027757
3076248,STIFEL BANK AND TRUST,0.005052817,0.029777
4041421,"FLORIDA COMMUNITY BANK, NATIONAL ASSOCIATION",0.004947383,0.014691
814430,CITY NATIONAL BANK OF FLORIDA,0.00494301,0.023354
4210227,"NBH BANK, NATIONAL ASSOCIATION",0.004886817,0.004522
697763,WESTAMERICA BANK,0.004857691,0.030846
959304,FLUSHING BANK,0.004792846,0.021936
2354985,CUSTOMERS BANK,0.004786919,0.020804
2797724,TOWNEBANK,0.004747732,0.022808
991340,1ST SOURCE BANK,0.004745624,0.030634
701062,CENTRAL PACIFIC BANK,0.00474088,0.020216
2858960,"BANCORP BANK, THE",0.004677079,0.000582
3476192,CARTER BANK & TRUST,0.004667068,0.015997
1004368,NATIONAL BANK OF ARIZONA,0.004648939,0.020235
936426,S & T BANK,0.004633911,0.030202
3545324,TALMER BANK AND TRUST,0.004474113,0.023275
673440,FIRST SECURITY BANK,0.004419561,0.049246
58971,WASHINGTON TRUST BANK,0.00439627,0.020875
352772,BANNER BANK,0.004251947,0.030147
557858,"INTRUST BANK, NATIONAL ASSOCIATION",0.004232773,0.022788
412751,WOODFOREST NATIONAL BANK,0.004129454,0.036957
506922,SANDY SPRING BANK,0.004128497,0.018305
53033,"SABADELL UNITED BANK, NATIONAL ASSOCIATION",0.004050709,0.015557
456960,NEVADA STATE BANK,0.00402862,0.008223
2047504,OPUS BANK,0.004016971,0.02353
39475,AMERICANWEST BANK,0.003898254,0.016158
58243,JOHNSON BANK,0.003874503,0.013681
200378,"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",0.003865414,0.016099
913856,PINNACLE BANK,0.003819434,0.030555
353555,AMARILLO NATIONAL BANK,0.003813492,0.039088
2652092,EAGLEBANK,0.00377934,0.026041
661308,AMALGAMATED BANK,0.003770808,-0.004403
572374,GREAT SOUTHERN BANK,0.003718446,0.02065
1438589,NEW YORK COMMERCIAL BANK,0.003644256,0.018222
509811,"COMMUNITY TRUST BANK, INC.",0.003640742,0.021785
382667,WILSHIRE BANK,0.003617861,0.028956
377908,CENTURY BANK AND TRUST COMPANY,0.003586611,0.011368
3348888,SERVISFIRST BANK,0.003558667,0.023874
122854,INDEPENDENT BANK,0.00353109,0.013036
878898,"VIEWPOINT BANK, NATIONAL ASSOCIATION",0.003510741,0.017766
764030,AMERIS BANK,0.003500688,0.018508
663245,SIMMONS FIRST NATIONAL BANK OF PINE BLUFF,0.003479639,0.015046
